Region,Year,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
Eastern Asia,2012,62.2,33.2,4.6
Eastern Asia,2013,61.5,34.0,4.5
Eastern Asia,2014,60.8,34.9,4.3
Europe,2000,42.8,56.3,0.9
Europe,2001,42.2,56.9,0.9
Europe,2002,41.6,57.6,0.8
Europe,2003,41.0,58.2,0.8
Europe,2004,40.4,58.8,0.8
Europe,2005,39.8,59.5,0.7
Europe,2006,39.2,60.1,0.7
Europe,2007,38.5,60.8,0.7
Europe,2008,37.9,61.4,0.6
Europe,2009,37.4,62.0,0.6
Europe,2010,36.9,62.5,0.6
Europe,2011,36.4,63.1,0.6
Europe,2012,35.9,63.6,0.5
Europe,2013,35.4,64.1,0.5
Europe,2014,34.9,64.6,0.5
Northern America,2000,36.3,62.9,0.7
Northern America,2001,35.7,63.6,0.6
Northern America,2002,35.0,64.4,0.6
Northern America,2003,34.3,65.0,0.6
Northern America,2004,33.7,65.7,0.6
Northern America,2005,33.0,66.4,0.6
Northern America,2006,32.4,67.0,0.6
Northern America,2007,31.8,67.6,0.6
Northern America,2008,31.3,68.2,0.6
Northern America,2009,30.8,68.6,0.6
Northern America,2010,30.4,69.1,0.5
Northern America,2011,30.0,69.6,0.5
Northern America,2012,29.5,70.0,0.5
Northern America,2013,29.1,70.4,0.5
Northern America,2014,28.6,70.9,0.5
Oceania,2000,49.7,48.4,1.9
Oceania,2001,49.4,48.8,1.8
Oceania,2002,49.0,49.2,1.8
Oceania,2003,48.7,49.5,1.8
Oceania,2004,48.3,49.9,1.7
Oceania,2005,48.0,50.3,1.7
Oceania,2006,47.6,50.7,1.7
Oceania,2007,47.2,51.2,1.6
Oceania,2008,46.7,51.6,1.6
Oceania,2009,46.3,52.1,1.6
Oceania,2010,45.9,52.6,1.5
Oceania,2011,45.4,53.0,1.5
Oceania,2012,45.0,53.6,1.5
Oceania,2013,44.5,54.0,1.4
Oceania,2014,44.0,54.6,1.4
South America,2000,52.0,45.2,2.8
South America,2001,51.4,45.9,2.7
South America,2002,50.8,46.6,2.6
South America,2003,50.3,47.3,2.5
South America,2004,49.7,47.9,2.4
South America,2005,49.1,48.7,2.3
South America,2006,48.4,49.4,2.2
South America,2007,47.8,50.1,2.1
South America,2008,47.1,50.9,2.0
South America,2009,46.4,51.6,1.9
South America,2010,45.7,52.4,1.9
South America,2011,45.0,53.2,1.8
South America,2012,44.3,54.0,1.8
South America,2013,43.6,54.8,1.7
South America,2014,42.9,55.5,1.6
South-eastern Asia,2000,67.4,16.1,16.5
South-eastern Asia,2001,67.2,16.5,16.3
South-eastern Asia,2002,67.0,17.0,16.0
South-eastern Asia,2003,66.8,17.5,15.8
South-eastern Asia,2004,66.6,18.0,15.5
South-eastern Asia,2005,66.3,18.5,15.2
South-eastern Asia,2006,66.1,19.0,14.9
South-eastern Asia,2007,65.8,19.6,14.6
South-eastern Asia,2008,65.5,20.3,14.2
South-eastern Asia,2009,65.2,20.9,13.9
South-eastern Asia,2010,64.8,21.6,13.6
South-eastern Asia,2011,64.5,22.3,13.2
South-eastern Asia,2012,64.1,23.0,12.9
South-eastern Asia,2013,63.7,23.7,12.6
South-eastern Asia,2014,63.2,24.5,12.3
Southern Asia,2000,64.0,15.6,20.3
Southern Asia,2001,64.0,16.0,20.0
Southern Asia,2002,63.9,16.4,19.7
Southern Asia,2003,63.7,16.8,19.4
Southern Asia,2004,63.6,17.2,19.1
Southern Asia,2005,63.5,17.7,18.9
Southern Asia,2006,63.3,18.1,18.6
Southern Asia,2007,63.1,18.6,18.3
Southern Asia,2008,62.9,19.2,17.9
Southern Asia,2009,62.7,19.7,17.6
Southern Asia,2010,62.4,20.3,17.3
Southern Asia,2011,62.2,20.9,17.0
Southern Asia,2012,61.9,21.5,16.7
Southern Asia,2013,61.6,22.1,16.4
Southern Asia,2014,61.3,22.7,16.0
Western Asia,2000,45.6,51.4,3.0
Western Asia,2001,45.1,52.0,2.9
Western Asia,2002,44.6,52.7,2.8
Western Asia,2003,44.0,53.3,2.7
Western Asia,2004,43.5,54.0,2.6
Western Asia,2005,42.9,54.7,2.4
Western Asia,2006,42.3,55.4,2.3
Western Asia,2007,41.7,56.1,2.2
Western Asia,2008,41.1,56.7,2.1
Western Asia,2009,40.6,57.4,2.0
Western Asia,2010,40.0,58.0,2.0
Western Asia,2011,39.5,58.6,1.9
Western Asia,2012,38.9,59.2,1.8
Western Asia,2013,38.4,59.8,1.7
Western Asia,2014,37.9,60.4,1.7
