Region,Year,Unnamed: 0,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
South America,2003,3678.0,44.26666666666667,52.88333333333333,2.875
South America,2004,3679.0,43.800000000000004,53.416666666666664,2.775
South America,2005,3680.0,43.30833333333334,53.96666666666667,2.7083333333333335
South America,2006,3681.0,42.84166666666667,54.541666666666664,2.6333333333333333
South America,2007,3682.0,42.324999999999996,55.11666666666667,2.558333333333333
South America,2008,3683.0,41.78333333333333,55.73333333333333,2.5
South America,2009,3684.0,41.28333333333334,56.291666666666664,2.4250000000000003
South America,2010,3685.0,40.775,56.85833333333333,2.3333333333333335
South America,2011,3686.0,40.266666666666666,57.43333333333334,2.2916666666666665
South America,2012,3687.0,39.75833333333333,58.025,2.216666666666667
South America,2013,3688.0,39.233333333333334,58.6,2.158333333333333
South America,2014,3689.0,38.733333333333334,59.14166666666667,2.125
South-eastern Asia,2000,4585.0,62.89,20.759999999999998,16.34
South-eastern Asia,2001,4586.0,62.69,21.23,16.06
South-eastern Asia,2002,4587.0,62.48,21.72,15.8
South-eastern Asia,2003,4588.0,62.25,22.22,15.51
South-eastern Asia,2004,4589.0,62.0,22.740000000000002,15.23
South-eastern Asia,2005,4590.0,61.760000000000005,23.28,14.95
South-eastern Asia,2006,4591.0,61.480000000000004,23.84,14.66
South-eastern Asia,2007,4592.0,61.19,24.45,14.37
South-eastern Asia,2008,4593.0,60.89,25.03,14.09
South-eastern Asia,2009,4594.0,60.589999999999996,25.619999999999997,13.790000000000001
South-eastern Asia,2010,4595.0,60.260000000000005,26.22,13.51
South-eastern Asia,2011,4596.0,59.94,26.830000000000002,13.219999999999999
South-eastern Asia,2012,4597.0,59.61,27.43,12.940000000000001
South-eastern Asia,2013,4598.0,59.279999999999994,28.060000000000002,12.68
South-eastern Asia,2014,4599.0,58.92,28.68,12.4
Southern Asia,2000,3296.1111111111113,58.44444444444444,20.955555555555556,20.61111111111111
Southern Asia,2001,3297.1111111111113,58.22222222222222,21.48888888888889,20.31111111111111
Southern Asia,2002,3298.1111111111113,57.977777777777774,22.055555555555557,19.977777777777778
Southern Asia,2003,3299.1111111111113,57.733333333333334,22.62222222222222,19.644444444444446
Southern Asia,2004,3300.1111111111113,57.477777777777774,23.211111111111112,19.322222222222223
Southern Asia,2005,3301.1111111111113,57.233333333333334,23.788888888888888,18.977777777777778
Southern Asia,2006,3302.1111111111113,56.977777777777774,24.38888888888889,18.655555555555555
Southern Asia,2007,3303.1111111111113,56.7,25.0,18.288888888888888
Southern Asia,2008,3304.1111111111113,56.37777777777777,25.644444444444446,17.955555555555556
Southern Asia,2009,3305.1111111111113,56.099999999999994,26.311111111111114,17.61111111111111
Southern Asia,2010,3306.1111111111113,55.77777777777778,26.98888888888889,17.233333333333334
Southern Asia,2011,3307.1111111111113,55.44444444444444,27.711111111111112,16.855555555555554
Southern Asia,2012,3308.1111111111113,55.099999999999994,28.38888888888889,16.51111111111111
Southern Asia,2013,3309.1111111111113,54.77777777777778,29.055555555555557,16.166666666666668
Southern Asia,2014,3310.1111111111113,54.455555555555556,29.755555555555556,15.811111111111112
Western Asia,2000,4287.222222222223,39.25,57.083333333333336,3.6555555555555554
Western Asia,2001,4288.222222222223,38.827777777777776,57.611111111111114,3.577777777777778
Western Asia,2002,4289.222222222223,38.40555555555555,58.111111111111114,3.4944444444444445
Western Asia,2003,4290.222222222223,37.97222222222222,58.60555555555556,3.4166666666666665
Western Asia,2004,4291.222222222223,37.52222222222222,59.14444444444444,3.3277777777777775
Western Asia,2005,4292.222222222223,37.077777777777776,59.66111111111112,3.244444444444445
Western Asia,2006,4293.222222222223,36.638888888888886,60.18333333333333,3.183333333333333
Western Asia,2007,4294.222222222223,36.172222222222224,60.727777777777774,3.0999999999999996
Western Asia,2008,4295.222222222223,35.73888888888889,61.227777777777774,3.033333333333333
Western Asia,2009,4296.222222222223,35.327777777777776,61.71666666666667,2.9555555555555557
Western Asia,2010,4297.222222222223,34.916666666666664,62.19444444444444,2.888888888888889
Western Asia,2011,4298.222222222223,34.51111111111111,62.66111111111112,2.8499999999999996
Western Asia,2012,4299.222222222223,34.12777777777777,63.08888888888888,2.788888888888889
Western Asia,2013,4300.222222222223,33.75,63.50555555555555,2.727777777777778
Western Asia,2014,4301.222222222223,33.422222222222224,63.91111111111112,2.6944444444444446
All Countries,2000,4011.0759493670885,52.61835443037975,39.58860759493671,7.794936708860759
All Countries,2001,4012.0759493670885,52.19177215189873,40.13291139240506,7.6791139240506325
All Countries,2002,4013.0759493670885,51.758227848101264,40.68417721518988,7.561392405063291
All Countries,2003,4014.0759493670885,51.32215189873418,41.234177215189874,7.441772151898734
All Countries,2004,4015.0759493670885,50.87658227848101,41.801898734177215,7.319620253164557
All Countries,2005,4016.0759493670885,50.42658227848101,42.36645569620253,7.196835443037974
All Countries,2006,4017.0759493670885,49.97405063291139,42.949367088607595,7.077215189873418
All Countries,2007,4018.0759493670885,49.503797468354435,43.53987341772152,6.955696202531645
All Countries,2008,4019.0759493670885,49.03417721518987,44.12658227848101,6.8398734177215195
All Countries,2009,4020.0759493670885,48.59177215189873,44.68607594936709,6.720253164556961
All Countries,2010,4021.0759493670885,48.141772151898735,45.24873417721519,6.605696202531646
All Countries,2011,4022.0759493670885,47.68291139240506,45.820253164556966,6.49873417721519
All Countries,2012,4023.0759493670885,47.234177215189874,46.379746835443036,6.3867088607594935
All Countries,2013,4024.0759493670885,46.78354430379747,46.93417721518988,6.279746835443039
All Countries,2014,4025.0759493670885,46.33860759493671,47.483544303797466,6.181012658227848
